City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
372,mount pearl,47.5166,-52.7813,29.95,95,100,13.8,CA,1704414558
373,luza,60.6308,47.2512,-15.0,100,73,3.6,RU,1704414814
374,amorebieta,43.2167,-2.7333,50.18,78,100,2.3,ES,1704414814
375,las vegas,36.175,-115.1372,57.88,32,0,25.01,US,1704414559
376,cizre,37.3272,42.1903,49.03,96,100,3.89,TR,1704414816
377,tomatlan,19.9333,-105.25,68.4,84,40,4.63,MX,1704414817
378,belgrade,44.804,20.4651,44.26,86,0,4.61,RS,1704414564
379,kota bharu,6.1333,102.2386,76.98,94,40,2.3,MY,1704414818
380,weno,7.4515,151.8468,85.95,74,75,8.05,FM,1704414818
381,matthew town,20.95,-73.6667,77.99,78,5,5.75,BS,1704414819
382,papao,-17.75,-149.55,85.68,81,100,20.04,PF,1704414819
383,pocone,-16.2567,-56.6228,82.26,68,100,1.86,BR,1704414820
384,salinopolis,-0.6136,-47.3561,79.07,89,100,8.63,BR,1704414820
385,masterton,-40.9597,175.6575,63.88,59,100,6.82,NZ,1704414821
386,jwaneng,-24.6004,24.7303,71.11,48,100,11.59,BW,1704414822
387,rakops,-21.0167,24.3333,81.37,41,12,14.29,BW,1704414823
388,lata,40.1629,-8.3327,47.07,96,100,4.09,PT,1704414825
389,necochea,-38.5473,-58.7368,73.22,50,91,15.52,AR,1704414825
390,meadow lakes,61.6247,-149.6011,28.85,73,40,5.99,US,1704414826
391,tra vinh,9.9347,106.3453,79.2,70,100,8.46,VN,1704414826
392,kutum,14.2,24.6667,54.88,27,59,6.64,SD,1704414827
393,black mountain,35.6179,-82.3212,33.1,76,4,3.0,US,1704414566
394,mbanza kongo,-6.267,14.2401,68.07,98,100,1.54,AO,1704414828
395,walvis bay,-22.9575,14.5053,67.15,88,0,0.0,NA,1704414829
396,rongelap,11.1635,166.8941,80.91,71,85,18.54,MH,1704414829
397,greenville,35.6127,-77.3663,40.12,76,0,0.0,US,1704414830
398,saudarkrokur,65.7461,-19.6394,17.55,87,40,7.14,IS,1704414831
399,cabedelo,-6.9811,-34.8339,81.27,80,27,8.55,BR,1704414831
400,okha,53.5739,142.9478,-6.41,98,71,5.32,RU,1704414736
401,at taraf,25.3628,49.725,54.14,58,0,9.08,SA,1704414832
402,kudahuvadhoo,2.6708,72.8944,81.97,77,65,8.81,MV,1704414833
403,columbia falls,48.3725,-114.1815,35.13,94,100,0.0,US,1704414833
404,armacao de buzios,-22.7469,-41.8817,77.05,91,100,8.41,BR,1704414833
405,arar,30.9753,41.0381,48.22,76,0,4.61,SA,1704414835
406,oriximina,-1.7656,-55.8661,82.27,66,100,2.24,BR,1704414836
407,dryden,49.7833,-92.7503,12.49,79,100,10.36,CA,1704414837
408,tadmur,34.5608,38.2805,50.59,77,1,2.89,SY,1704414838
409,coxim,-18.5067,-54.76,82.89,65,100,2.91,BR,1704414839
410,brownsville,25.9018,-97.4975,68.09,78,100,12.66,US,1704414688
411,moyale,3.5167,39.0584,68.23,41,0,6.76,KE,1704414840
412,souillac,-20.5167,57.5167,80.98,89,75,0.0,MU,1704414840
413,vaasa,63.096,21.6158,-23.78,76,0,1.14,FI,1704414841
414,lethem,3.3803,-59.7968,83.32,42,30,8.84,GY,1704414841
415,rantoul,40.3084,-88.1559,33.82,70,100,0.0,US,1704414842
416,kharabali,47.4196,47.2568,38.7,94,54,7.43,RU,1704414843
417,seoni malwa,22.45,77.4667,63.7,80,92,5.06,IN,1704414843
418,kosh-agach,50.0,88.6667,-7.69,95,86,1.01,RU,1704414844
419,egilsstadir,65.2653,-14.3948,33.71,93,75,8.05,IS,1704414845
420,bhimunipatnam,17.8833,83.4333,65.71,75,43,6.73,IN,1704414845
421,eyl,7.9803,49.8164,72.9,69,0,13.73,SO,1704414846
422,polyarnyy,69.1989,33.4478,-1.53,79,0,18.3,RU,1704414802
423,tamandare,-8.7597,-35.1047,79.95,82,10,9.66,BR,1704414849
424,chatham,51.3789,0.5279,48.11,77,100,4.88,GB,1704414850
425,lake park,26.8003,-80.0664,64.38,85,75,11.5,US,1704414850
426,vryheid,-27.7695,30.7917,60.37,94,100,2.57,ZA,1704414851
427,najran,17.4924,44.1277,57.85,50,1,1.86,SA,1704414851
428,lyantonde,-0.4031,31.1572,63.97,86,100,2.53,UG,1704414852
429,bergisch gladbach,50.9833,7.1333,47.97,80,75,12.66,DE,1704414853
430,attalla,34.0218,-86.0886,39.92,85,0,5.75,US,1704414853
431,dudinka,69.4058,86.1778,-14.33,95,100,14.0,RU,1704414854
432,ad douiem,14.0012,32.3116,65.23,23,0,12.1,SD,1704414855
433,gouyave,12.1646,-61.7296,79.57,83,20,11.5,GD,1704414855
434,severo-yeniseyskiy,60.3725,93.0408,-35.43,100,93,4.0,RU,1704414856
435,krymsk,44.9293,37.9912,50.05,86,100,16.02,RU,1704414856
436,lingyuan,41.24,119.4011,16.75,79,100,2.86,CN,1704414857
437,usogorsk,63.4106,48.6872,-21.33,100,100,3.33,RU,1704414857
438,inarajan village,13.2736,144.7484,86.4,84,14,10.45,GU,1704414858
439,barra,-11.0894,-43.1417,75.99,86,100,3.27,BR,1704414859
440,palencia,42.4167,-4.5,40.8,89,100,5.84,ES,1704414859
441,luang namtha,20.9497,101.4011,57.22,100,100,2.3,LA,1704414860
442,alesund,62.4723,6.1549,29.75,61,20,14.97,NO,1704414861
443,gualeguaychu,-33.0094,-58.5172,69.73,77,4,7.67,AR,1704414862
444,flin flon,54.7682,-101.865,10.24,79,100,11.5,CA,1704414863
445,kupino,54.3663,77.2981,19.8,85,100,16.67,RU,1704414863
446,grand falls-windsor,48.9332,-55.6649,23.95,96,100,4.12,CA,1704414864
447,colonia,50.9333,6.95,48.88,86,40,11.5,DE,1704414587
448,port saint john's,-31.6229,29.5448,66.74,87,27,8.08,ZA,1704414865
449,chardara,41.2547,67.9692,48.04,72,10,6.69,KZ,1704414849
450,luganville,-15.5333,167.1667,81.1,83,100,6.82,VU,1704414866
451,mana,5.6592,-53.7767,77.27,89,82,7.65,GF,1704414867
452,owen sound,44.5672,-80.9435,23.38,89,100,7.0,CA,1704414867
453,al ghayzah,16.2079,52.176,72.23,69,10,0.76,YE,1704414868
454,timbuktu,16.7735,-3.0074,70.68,13,34,7.65,ML,1704414868
455,huarmey,-10.0681,-78.1522,72.54,85,100,7.54,PE,1704414869
456,coquimbo,-29.9533,-71.3436,64.13,88,20,11.5,CL,1704414869
457,berdigestyakh,62.0989,126.6992,-12.26,98,100,5.39,RU,1704414870
458,balkanabat,39.5108,54.3671,51.19,49,100,3.31,TM,1704414870
459,ribadesella,43.4614,-5.0596,47.95,80,100,9.64,ES,1704414871
460,tromso,69.6496,18.957,23.02,58,20,19.57,NO,1704414871
461,sainte-suzanne,-20.9061,55.6089,79.02,95,100,3.44,RE,1704414872
462,talara,-4.5772,-81.2719,77.76,73,0,5.75,PE,1704414872
463,tralee,52.2704,-9.7026,44.2,90,91,10.54,IE,1704414873
464,malvan,16.0667,73.4667,72.1,73,78,5.75,IN,1704414873
465,misratah,32.3754,15.0925,61.23,38,93,9.28,LY,1704414874
466,holualoa,19.6228,-155.9522,76.84,70,0,6.91,US,1704414875
467,saint-pierre,-21.3393,55.4781,78.48,89,40,3.44,RE,1704414875
468,jumla,29.2747,82.1838,29.95,33,0,5.46,NP,1704414876
469,antsiranana,-12.2787,49.2917,79.45,80,41,9.26,MG,1704414876
470,swift current,50.2834,-107.8014,16.61,100,100,5.75,CA,1704414771
471,pacific grove,36.6177,-121.9166,59.43,80,0,18.99,US,1704414877
472,siwa oasis,29.2041,25.5195,54.1,51,0,6.46,EG,1704414878
473,sabancuy,18.9667,-91.1833,73.09,83,4,3.91,MX,1704414878
474,susuman,62.7833,148.1667,-43.62,100,97,0.67,RU,1704414803
475,ketchikan,55.3422,-131.6461,42.78,93,75,10.36,US,1704414879
476,catumbela,-12.4314,13.5472,76.01,82,100,1.32,AO,1704414880
477,kidal,18.4411,1.4078,68.85,15,18,7.99,ML,1704414880
478,nguigmi,14.2495,13.1092,67.62,24,97,10.69,NE,1704414881
479,santa cruz,-17.8,-63.1667,85.46,70,40,2.3,BO,1704414737
480,kuala belait,4.5833,114.1833,80.76,92,100,6.82,BN,1704414882
481,jaithari,23.2333,78.6167,60.93,79,82,3.2,IN,1704414883
482,mount gambier,-37.8333,140.7667,75.07,53,18,10.67,AU,1704414883
483,south hedland,-20.4089,118.5983,84.13,65,3,13.8,AU,1704414884
484,susanville,40.4163,-120.653,42.91,67,100,4.61,US,1704414872
485,muisne,0.6,-80.0333,77.67,89,97,5.97,EC,1704414884
486,massawa,15.6097,39.45,78.6,70,0,1.83,ER,1704414885
487,kattivakkam,13.2167,80.3167,77.09,75,93,8.88,IN,1704414885
